Version 2026.07.01,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Item Status,Item Number,UPC,Item Description,Item Web Listing,Item Sell Sheet
New ,CIP5883RD,749355071937,Amend2® Bolt-Action Long-Action CIP-588 .338 Lapua Magnum Mod-3 Black 3-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1kIxJf7_uOiAJTeNV-93lGTAWbMgUgeJA/view?usp=sharing
,Short-Action AICS - 7.62x51mm NATO/.308 Winchester Magazines,,,,
,SAAICSBLK5,685757245777,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 5-Round Magazine,https://amend2mags.com/amend2-aics-short-action-5rd/,https://drive.google.com/file/d/1PIuHSDQNTuLAKxCkvAj8M1C0aa7qMxQ1/view?usp=sharing
,SAAICSBLK12,685757245784,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 12-Round Magazine,https://amend2mags.com/amend2-aics-short-action-12rd/,https://drive.google.com/file/d/1BZMu2gZWlh1yIPC6hvllxFVsNbxwV8I2/view?usp=sharing
,Short-Action Magnum AICS - 6.5 PRC Magazines,,,,
,SAAICS65BLK3,799947620104,Amend2® Bolt-Action Short-Action Magnum AICS 6.5 PRC Mod-3 Black 3-Round Magazine,https://amend2mags.com/amend2-aics-short-action-6-5-prc-3rd/,https://drive.google.com/file/d/1Qaq8Z154zCbo0KO1griWWEHbGDwPl_4G/view?usp=sharing
,FN® SCAR® 17/17S/20/20S-Compatible Magazines,,,,
,Mod-3 Magazines,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,
,SCARMOD3BLK20,799947619894,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Black 20-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1vAcW2Psbo0XQORIsIbhvy1iCkXRlOu2p/view?usp=sharing
,,,,,
,SCARMOD3FDE20,850057645910,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Flat Dark Earth 20-Round Magazine,Coming Soon!,https://drive.google.com/file/d/1DY8-agAQcLTzfWBAZlF2s1Bp4DYZqqdM/view?usp=sharing
,Pistol Magazines,,,,
,Mod-2 Magazines,,,,
,GLOCK®-Compatible Pistol Magazines,,,,
